date,description,amount,category,payment_method
2015-01-28,fit for life,-4.5,living,cash
2015-01-28,tutoring,240,living,cash
2015-01-28,subway,-6.75,living,cash
2015-01-28,electronic srpls,-5,living,cash
2015-01-28,pat mart,-12.98,living,cash
2015-01-29,subway,-6.75,living,cash
2015-01-29,1that got away,-19.19,living,cash
2015-01-30,rusty's,-30,living,cash
2015-01-30,goodlife,-28.25,living,cash
2015-01-31,coffee,-3.75,living,cash
2015-01-31,eggsmart,-29.25,living,cash
2015-01-31,spa,-56.5,living,cash
2015-01-31,esso,-7.4,living,cash
2015-01-31,huganae,-45,living,cash
2015-02-01,olg,5,living,cash
2015-02-01,haircut,-19.8,living,cash
2015-02-01,head shop,-3,living,cash
2015-02-02,fit for life,-4.2,living,cash
2015-02-02,subway,-6.75,living,cash
2015-02-02,work,977.63,living,cash
2015-02-03,felafel queen,-23.7,living,cash
2015-02-01,rent,-500,living,cash
2015-02-03,laundry,-2.25,living,cash
2015-02-03,fruit store,-5.23,living,cash
2015-02-03,pat mart,-23.59,living,cash
2015-02-03,house bill,-3.5,living,cash
2015-02-03,pour boy,-15,living,cash
2015-02-04,fit for life,-2.2,living,cash
2015-02-04,subway,-6.75,living,cash
2015-02-04,shoppers,-17.7,living,cash
2015-02-04,towels,-13.5,living,cash
2015-02-04,bloor meat,-7.75,living,cash
2015-02-05,audiable,-14.95,living,cash
2015-02-05,fit for life,-4.2,living,cash
2015-02-05,subway,-6.75,living,cash
2015-02-06,fit for life,-4.2,living,cash
2015-02-06,subway,-8.5,living,cash
2015-02-06,audible,-19.29,living,cash
2015-02-07,subway,-8.5,living,cash
2015-02-07,tutoring,55,living,cash
2015-02-08,starbucks,-2.7,living,cash
2015-02-08,popeyes nute,-118.63,living,cash
2015-02-08,shoppers,-17.88,living,cash
2015-02-08,pat mart,-9.3,living,cash
2015-02-08,convience store,-2.8,living,cash
2015-02-09,fit for life,-4.2,living,cash
2015-02-09,subway,-8.5,living,cash
2015-02-09,wind,-33.6,living,cash
2015-02-10,subway,-8.5,living,cash
2015-02-10,HST rebate,49.15,living,cash
2015-02-10,coco rice,-25.5,living,cash
2015-02-10,buldak,-20,living,cash
2015-02-11,breakfast bar,-4.15,living,cash
2015-02-11,kitchen table,-15.14,living,cash
2015-02-11,pat mart,-7.3,living,cash
2015-02-11,cash advance,-3.5,living,cash
2015-02-12,fit for life,-2.1,living,cash
2015-02-12,kitchen table,-10,living,cash
2015-02-12,fruit store,-17.55,living,cash
2015-02-12,pat mart,-6.35,living,cash
2015-02-13,kitchen table,-11.19,living,cash
2015-02-13,goodlife,-29.6,living,cash
2015-02-14,felafel queen,-11.3,living,cash
2015-02-14,owl,-10.35,living,cash
2015-02-15,pat mart,-15.05,living,cash
2015-02-17,work,910.36,living,cash
2015-02-17,shoppers,-9.05,living,cash
2015-02-17,subway,-8.5,living,cash
2015-02-17,skype,-14,living,cash
2015-02-18,kitchen table,-4.1,living,cash
2015-02-18,subway,-5.35,living,cash
2015-02-19,subway,-8.5,living,cash
2015-02-19,fruit store,-15.15,living,cash
2015-02-19,gangsan,-10,living,cash
2015-02-19,laundry,-3,living,cash
2015-02-20,subway,-8.5,living,cash
2015-02-20,fit for life,-6.9,living,cash
2015-02-21,lcbo,-12.7,living,cash
2015-02-21,eggsmart,-21,living,cash
2015-02-21,moguls,-5.25,living,cash
2015-02-21,spa,-56.5,living,cash
2015-02-21,huganae,-69.3,living,cash
2015-02-22,rom,-19.5,living,cash
2015-02-22,fruit store,-12.84,living,cash
2015-02-22,lamesa,-50,living,cash
2015-02-23,subway,-6.75,living,cash
2015-02-24,saisons,-4.15,living,cash
2015-02-24,subway,-6.75,living,cash
2015-02-24,soylent,-17,living,cash
2015-02-25,subway,-6.75,living,cash
2015-02-25,kitchen table,-12,living,cash
2015-02-25,pho,-15,living,cash
2015-02-26,subway,-8.5,living,cash
2015-02-26,huganae,-20,living,cash
2015-02-26,laundry,-1.25,living,cash
2015-02-27,subway,-8.5,living,cash
2015-02-27,goodlife,-28.25,living,cash
2015-02-27,bus,-16.6,living,cash
2015-02-28,mel's,-20,living,cash
2015-02-28,pita factory,-5.65,living,cash
2015-02-28,smokes poutine,-31.6,living,cash
2015-03-01,bus,-16.6,living,cash
2015-03-01,pat mart,-20.65,living,cash
2015-03-02,subway,-8.5,living,cash
2015-03-02,lee,-10,living,cash
2015-03-02,work,840.18,living,cash
2015-03-03,sushi&bento,-12.25,living,cash
2015-03-03,subway,-8.5,living,cash
2015-03-04,subway,-8.5,living,cash
2015-03-06,subway,-6.75,living,cash
2015-03-06,el taco,-7.3,living,cash
2015-03-06,audible,-19.19,living,cash
2015-03-07,wind,-33.6,living,cash
2015-03-07,rent,-500,living,cash
2015-03-08,tutoring,180,living,cash
2015-03-08,bus,-20.91,living,cash
2015-03-09,coco rice,-11,living,cash
2015-03-09,huganae,-25,living,cash
2015-03-10,HST rebate,49.15,living,cash
2015-03-10,subway,-8.5,living,cash
2015-03-10,lim gane,-35,living,cash
2015-03-11,chinese food,-7,living,cash
2015-03-11,fruit store,-14.05,living,cash
2015-03-12,subway,-8.5,living,cash
2015-03-12,chinese food,-19,living,cash
2015-03-13,lcbo,-22.8,living,cash
2015-03-13,taxi,-15,living,cash
2015-03-13,goodlife,-28.25,living,cash
2015-03-14,pat mart,-7.95,living,cash
2015-03-14,grandma,300,living,cash
2015-03-15,bus,-20.06,living,cash
2015-03-15,shoppers,-11.25,living,cash
2015-03-15,beer,-15.25,living,cash
2015-03-16,subway,-8.5,living,cash
2015-03-16,subway,-6.7,living,cash
2015-03-16,fedex,-5.45,living,cash
2015-03-16,book store,-17.85,living,cash
2015-03-16,work,910.36,living,cash
2015-03-17,subway,-6.75,living,cash
2015-03-17,hooters,-20,living,cash
2015-03-17,hrblock,-48.57,living,cash
2015-03-17,4ureyesonly,-32.5,living,cash
2015-03-18,freshii,-7.9,living,cash
2015-03-19,freshii,-15.23,living,cash
2015-03-20,subway,-8.5,living,cash
2015-03-20,herbs & nutrition,-19.95,living,cash
2015-03-20,book store,-18.85,living,cash
2015-03-20,pat mart,-7.15,living,cash
2015-03-21,fruit store,-6.95,living,cash
2015-03-21,huganae,-23.95,living,cash
2015-03-22,second cup,-2.55,living,cash
2015-03-22,subway,-8.5,living,cash
2015-03-22,fruit store,-13.19,living,cash
2015-03-23,subway,-6.7,living,cash
2015-03-23,laundry,-4,living,cash
2015-03-23,pour boy,-5,living,cash
2015-03-24,subway,-8.5,living,cash
2015-03-24,fruit store,-6.3,living,cash
2015-03-24,pat mart,-6,living,cash
2015-03-24,beer,-16.9,living,cash
2015-03-24,shoppers,-14.7,living,cash
2015-03-25,subway,-8.5,living,cash
2015-03-26,incometaxrtn,1391.22,living,cash
2015-03-26,subway,-8.5,living,cash
2015-03-26,huganae,-50,living,cash
2015-03-27,subway,-8.5,living,cash
2015-03-27,maddison pub,-46,living,cash
2015-03-27,goodlife,-28.25,living,cash
2015-03-28,freshii,-10.7,living,cash
2015-03-28,billiard,-18.5,living,cash
2015-03-29,rock climbing,-39.55,living,cash
2015-03-29,pappas grill,-23.11,living,cash
2015-03-30,second cup,-5.8,living,cash
2015-03-30,subway,-15.25,living,cash
2015-03-30,herbs & nutrition,-10.5,living,cash
2015-03-30,fruit store,-6,living,cash
2015-03-31,second cup,-2.55,living,cash
2015-03-31,subway,-8.5,living,cash
2015-03-31,bean bag,-50,living,cash
2015-03-31,uber,-14.24,living,cash
2015-03-31,huganae,-22,living,cash
2015-03-31,ebay,-14.77,living,cash
2015-04-01,subway,-6.75,living,cash
2015-04-01,work,1048.84,living,cash
2015-04-01,pat mart,-14.95,living,cash
2015-04-01,fedex,-2.02,living,cash
2015-04-01,metro,-6.1,living,cash
2015-04-01,tuition,-1592.73,living,cash
2015-04-01,ebay,-151.75,living,cash
2015-04-02,GST rebate,67,living,cash
2015-04-02,fine foods,-10.16,living,cash
2015-04-02,aircanada,-469.09,living,cash
2015-04-02,Alexanders,-45,living,cash
2015-04-02,mystic java,-3.15,living,cash
2015-04-02,viarail,-184.8,living,cash
2015-04-05,rail food,-42.75,living,cash
2015-04-04,parking,-3,living,cash
2015-04-04,kingyo,-60,living,cash
2015-04-05,hotel,-345.3,living,cash
2015-04-05,car,-118.67,living,cash
2015-04-05,skytrain,-9.75,living,cash
2015-04-05,suki,-25.2,living,cash
2015-04-05,starbucks,-1.9,living,cash
2015-04-05,toshi,-11.13,living,cash
2015-04-05,booster juice,-6.45,living,cash
2015-04-05,aircanada,-351.88,living,cash
2015-04-05,tutoring,180,living,cash
2015-04-05,hotel,-345.3,living,cash
2015-04-05,valet tip,-10,living,cash
2015-04-05,samurai,-90,living,cash
2015-04-06,audible,-19.27,living,cash
2015-04-06,kenzo ramen,-22.49,living,cash
2015-04-07,subway,-8.5,living,cash
2015-04-08,freshii,-21.4,living,cash
2015-04-09,starbucks,-7.05,living,cash
2015-04-09,subway,-6.75,living,cash
2015-04-09,laundry,-2.25,living,cash
2015-04-09,billiard,-10.75,living,cash
2015-04-10,goodlife,-28.25,living,cash
2015-04-10,HST rebate,49.15,living,cash
2015-04-10,subway,-8.5,living,cash
2015-04-10,lcbo,-17.6,living,cash
2015-04-10,water,-1.9,living,cash
2015-04-10,huganae,-13,living,cash
2015-04-11,beer can,4.2,living,cash
2015-04-11,fruit store,-22.13,living,cash
2015-04-11,mean bao,-15.82,living,cash
2015-04-11,wind,-33.6,living,cash
2015-04-13,audible,-11.35,living,cash
2015-04-12,second cup,-8.4,living,cash
2015-04-12,pat mart,-13.05,living,cash
2015-04-13,freshii,-10.05,living,cash
2015-04-13,subway,-8.5,living,cash
2015-04-14,freshii,-10.05,living,cash
2015-04-14,dollarama,-4.25,living,cash
2015-04-14,fruit store,-20.1,living,cash
2015-04-14,pat mart,-2.2,living,cash
2015-04-15,freshii,-7.9,living,cash
2015-04-15,huganae,-10,living,cash
2015-04-16,freshii,-17.5,living,cash
2015-04-16,work,752.58,living,cash
2015-04-16,thebeerstation,-12,living,cash
2015-04-17,freshii,-6.75,living,cash
2015-04-17,clintons,-19,living,cash
2015-04-17,dimsum,-25,living,cash
2015-04-18,freshii,-14.65,living,cash
2015-04-19,herbs & nutrition,-4.5,living,cash
2015-04-19,dollarama,-17.25,living,cash
2015-04-19,pat mart,-23.67,living,cash
2015-04-19,laundry,-2.5,living,cash
2015-04-19,pour boy,-6,living,cash
2015-04-20,lucky quarter,0.25,living,cash
2015-04-20,freshii,-17.5,living,cash
2015-04-22,convenience,-9.55,living,cash
2015-04-22,freshii,-10.7,living,cash
2015-04-22,lucky dime,0.1,living,cash
2015-04-22,costco,-98.88,living,cash
2015-04-23,herbs & nutrition,-9,living,cash
2015-04-24,goodlife,-28.25,living,cash
2015-04-25,starbucks,-2.55,living,cash
2015-04-25,shoppers,-2.8,living,cash
2015-04-25,lottery,-12,living,cash
2015-04-25,lottery,55,living,cash
2015-04-25,freshii,-7.35,living,cash
2015-04-25,pho,-16.85,living,cash
2015-04-26,haircut,-17,living,cash
2015-04-26,dollarama,-5.1,living,cash
2015-04-26,herbs & nutrition,-13.5,living,cash
2015-04-26,taxi,-17.5,living,cash
2015-04-26,o'noir,-40,living,cash
2015-04-26,book store,-9,living,cash
2015-04-26,japas,-20,living,cash
2015-04-26,rent,-365,living,cash
2015-04-27,subway,-11.8,living,cash
2015-04-27,chinese food,-15,living,cash
2015-04-28,second cup,-2.9,living,cash
